N,Lc2,Lc2,Lc3,Lc3,Lc4,Lc4,Lc5,Lc5,Lc6,Lc6,Lc7,Lc7,Lc9,Lc9,Lc10,Lc10,Lc11,Lc11,Lc12,Lc12,Lc11,Lc11,Lc12,Lc12,Lc13,Lc13,Lc14,Lc14,Lc15,Lc15,Lc16,Lc16,Lc17,Lc17,Lc18,Lc18,Lc19,Lc19,Lc20,Lc20,Lc21,Lc21,Lc22,Lc22,Lc23,Lc23,Lc24,Lc24,Lc25,Lc25,Lc26,Lc26,Lc27,Lc27,Lc28,Lc28,Lc29,Lc29,Lc30,Lc30,Lc31,Lc31,Lc32,Lc32,Lc33,Lc33,Lc34,Lc34,Lc35,Lc35,Lc36,Lc36,Lc37,Lc37,Lc38,Lc38
UPCA,1,2,1,1,1,1,3,6,1,1,1,1,1,4,1,1,2,2,2,2,1,1,0,0,1,1,3,3,1,1,2,2,3,3,2,0,3,4,1,3,0,0,1,1,5,5,1,1,2,2,3,3,1,1,2,2,1,1,1,1,1,3,5,6,2,4,5,5,3,3,2,2,1,1,3,3
Mandau,1,2,4,4,1,1,1,5,2,2,2,2,2,4,1,1,1,1,1,1,1,1,3,3,1,1,2,2,1,1,1,1,2,2,2,4,3,4,2,4,1,4,2,2,5,5,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,3,5,6,1,3,3,3,5,5,4,4,2,2,4,4
Numbu,1,2,1,1,2,2,1,5,2,2,2,2,3,6,1,1,1,1,2,2,2,2,4,4,1,1,3,3,2,2,2,2,2,2,2,0,3,4,2,4,1,4,1,1,3,3,4,4,2,2,3,3,3,3,3,3,1,1,1,1,1,3,3,4,2,4,4,4,1,1,1,1,1,1,3,3
Kawali ,1,2,1,1,2,2,1,5,2,2,2,2,2,6,1,1,1,1,1,1,2,2,3,3,1,1,2,2,2,2,2,2,3,3,2,0,3,4,0,0,1,4,3,3,4,4,4,4,1,1,2,2,1,1,3,3,0,0,1,1,3,5,3,4,1,3,4,4,2,2,1,1,1,1,3,3
Super 1,1,2,2,2,3,3,1,5,1,1,2,2,2,6,1,1,3,3,1,1,1,1,3,3,2,2,2,2,1,1,2,2,3,3,2,4,3,4,2,4,1,4,1,1,0,0,1,1,1,1,0,0,1,1,2,2,1,1,2,2,1,3,0,0,2,4,3,3,3,3,2,2,2,2,3,3
Super 2,1,2,2,2,2,2,4,7,2,2,1,1,2,6,1,1,3,3,1,1,3,3,2,2,1,1,2,2,3,3,1,1,3,3,2,4,3,4,2,4,1,4,1,1,1,1,3,3,1,1,0,0,3,3,1,1,1,1,1,1,2,4,1,2,2,4,1,1,6,6,5,5,1,1,3,3
Suri 3,1,2,3,3,3,3,2,5,2,2,2,2,2,5,1,1,3,3,1,1,2,2,3,3,3,3,2,2,2,2,2,2,1,1,1,4,1,2,1,3,2,5,2,2,2,2,3,3,1,1,3,3,0,0,2,2,1,1,1,1,1,3,3,4,1,3,1,1,3,3,2,2,1,1,3,3
Suri 4,1,2,4,4,1,1,2,5,2,2,3,3,2,5,1,1,3,3,1,1,1,1,3,3,1,1,2,2,1,1,2,2,1,1,1,4,1,2,1,3,3,6,1,1,2,2,2,2,2,2,3,3,2,2,2,2,1,2,1,1,1,3,5,6,1,3,3,3,3,3,2,2,2,2,3,3
Soper 6,0,0,2,2,2,2,2,5,1,1,2,2,2,5,1,1,2,2,1,1,3,3,1,1,1,1,1,1,2,2,2,2,1,1,1,4,1,2,1,3,2,5,3,3,4,4,2,2,2,2,2,2,1,1,1,1,1,2,1,1,3,5,3,4,1,3,4,4,4,4,3,3,1,1,1,1
Soper 7,1,2,2,2,2,2,2,5,2,2,2,2,2,5,1,1,2,2,1,1,3,3,4,4,1,1,3,3,2,2,2,2,3,3,1,4,1,2,2,4,3,6,1,1,3,3,2,2,2,2,3,3,3,3,3,3,1,2,1,1,1,3,3,4,2,4,0,0,2,2,1,1,1,1,2,2
Soper 9,1,2,2,2,2,2,2,4,2,2,2,2,1,4,1,1,2,2,1,1,3,3,4,4,1,1,3,3,2,2,2,2,1,1,2,3,1,2,1,3,2,5,2,2,3,3,2,2,2,2,3,3,3,3,3,3,1,2,1,1,1,1,3,4,2,4,2,2,2,2,1,1,1,1,2,2
Bioguma 1,1,2,1,1,2,2,2,4,2,2,2,2,2,5,2,2,2,2,1,1,3,3,4,4,1,1,3,3,2,2,2,2,3,3,2,4,1,2,1,3,1,4,1,1,3,3,3,3,1,1,3,3,3,3,3,3,1,2,1,1,1,3,3,4,2,4,0,0,2,2,1,1,1,1,2,2
Bioguma 2,1,0,1,1,2,2,2,4,2,2,4,4,2,5,2,2,2,2,1,1,3,3,4,4,1,1,3,3,2,2,2,2,3,3,2,4,3,4,2,4,1,4,1,1,3,3,3,3,1,1,3,3,3,3,0,0,1,1,1,1,1,3,3,4,2,4,4,4,2,2,1,1,1,1,3,3
Bioguma 3,1,2,2,2,2,2,1,4,2,2,4,4,2,5,2,2,2,2,1,1,3,3,4,4,1,1,3,3,2,2,2,2,2,2,1,4,1,2,1,3,3,6,1,1,3,3,4,4,1,1,2,2,3,3,3,3,0,0,1,1,1,3,3,4,2,4,4,4,2,2,1,1,1,1,3,3
Samurai 2,1,2,2,2,2,2,1,4,2,2,5,5,1,4,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,2,2,2,2,1,0,1,2,1,3,3,6,2,2,2,2,3,3,1,1,1,1,1,1,2,2,1,1,3,3,1,1,3,4,2,4,3,3,2,2,1,1,2,2,4,4
